responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
33244,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778223.1000000238,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33300,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778278.9000000954,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33351,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778329.9000000954,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33393,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778371.7000000477,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33453,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778432.6000000238,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33497,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778475.8000000715,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33545,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778523.9000000954,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33593,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778572.1000000238,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33641,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778620.4000000954,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33699,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778677.7000000477,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33755,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778733.6000000238,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33800,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778779,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33846,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778824.9000000954,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33904,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778882.7000000477,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
33955,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778933.6000000238,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34003,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1778982.2000000477,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34045,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779024.1000000238,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34094,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779072.7000000477,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34154,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779133,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34199,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779178.2000000477,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34249,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779227.8000000715,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34299,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779277.9000000954,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34349,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779328.2000000477,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34404,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779383.1000000238,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34444,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779423.2000000477,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34494,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779473.4000000954,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34540,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779519.2000000477,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34594,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779572.6000000238,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
34645,raw_position_sample,2,3,adv,17,3,13,14,17, after ,409,129,1779623.7000000477,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,advanced,3,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,spotlight_PROLIFIC,,49,Brazil,Brazilian Portuguese,"Brazilian Portuguese, English",,Brazilian Portuguese:60|English:40,100,Brazilian Portuguese:20|English:80,100,Brazilian Portuguese:60|English:40,100,15,4,Bachelor's,10,10,10,8,8,8,9,26,16,26,FCE,C1,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,106.203125,383.90625,126.203125,424.9375,2,2,,,,,,,,,,,,2026-07-08T17:20:43.929Z,M4CS5ZY6,2026-07-08,2026-07-08,14:20:43,2026-07-08 14:20:43,,,,,,,,69820c7ea2f7dc2c07312700,69820c7ea2f7dc2c07312700,,,,
