responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
18663,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2542956.100000024,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
18712,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543005,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
18761,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543053.800000012,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
18810,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543102.899999976,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
18858,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543151.600000024,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
18907,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543199.600000024,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
18956,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543248.899999976,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19004,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543297.300000012,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19052,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543345.399999976,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19117,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543410,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19165,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543457.699999988,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19214,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543507,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19262,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543555.5,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19305,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543597.899999976,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19378,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543671.199999988,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19405,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543697.699999988,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19454,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543746.699999988,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19502,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543795.300000012,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19566,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543859.399999976,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19615,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543908.300000012,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19665,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2543957.899999976,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19713,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2544006.600000024,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19761,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2544054.5,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19811,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2544103.600000024,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19859,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2544152.5,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19908,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2544201.300000012,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
19956,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2544248.800000012,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
20002,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2544294.699999988,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
20067,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2544360.199999988,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
20116,raw_position_sample,2,1,ele,3,3,8,9,19, very ,638,166,2544408.600000024,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,elementary,3,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:80|English:20,100,Spanish:60|English:40,100,18,6,Bachelor's,10,10,10,7,10,10,12,25,15,22,TOEFL,110,,,,,13,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,151.16250610351562,626.2875366210938,171.16250610351562,665.3000373840332,2,4,,,,,,,,,,,,2026-09-22T17:42:39.682Z,W7UG5AWW,2026-09-22,2026-09-22,11:42:39,2026-09-22 11:42:39,,,,,,,,6a0ba51061d7a1053899fa12,6a0ba51061d7a1053899fa12,,,,
